,APD,BLDP.TO,LONN.S,ITM.L,SQM,AIRP.PA,PH,RB.L,RIO.L,DXCM.O,AAPL.O,GPN,ITRI.O,NVDA.O,MSFT.O,NESN.S,ROG.S,AZN.L,ASML.AS,SAPG.DE,DGE.L,UNA.AS,ALVG.DE,OREP.PA,IBE.MC,SASY.PA,LVMH.PA,TOTF.PA,NOVOb.CO,ULVR.L,ZURN.S,SCHN.PA,BASFn.DE,ADSGn.DE,REL.L,SGEF.PA,PRTP.PA,DANO.PA,NG.L,PHG.AS,VOD.L,ABI.BR,PRU.L,ABBN.S,ESLX.PA,PERP.PA,GIVN.S,ITX.MC,MUVGn.DE,LSE.L,DB1Gn.DE,CPG.L,AD.AS,EXPN.L,SRENH.S,HRMS.PA,IFXGn.DE,ATCOa.ST,SIKA.S,BBVA.MC,EONGn.DE,INVEb.ST,DSMN.AS,HEIN.AS,BARC.L,ENGIE.PA,WLSNc.AS,KNEBV.HE,DSV.CO,VIV.PA,VOLVb.ST,DAST.PA,NDASE.ST,NOKIA.HE,BMWG.DE,ASSAb.ST,INGC.PA
11/30/2007,-0.028039901,-0.209544493,-0.052311295,-0.199159602,-0.099657901,-0.141112896,-0.100312037,-0.105249623,-0.246765014,-0.050836153,-0.123917919,-0.093947568,0.006510325,-0.025696164,-0.080373546,0.032311305,-0.044557133,-0.19213339,-0.089362444,-0.00316909,-0.077002576,-0.106351195,-0.10638848,-0.035879004,-0.077387813,-0.09200411,-0.080018099,-0.169328878,-0.063628059,-0.106399412,-0.13541783,-0.164812488,-0.116458423,-0.09834906,-0.12764263,-0.195265725,-0.159458915,-0.07928753,-0.013354512,-0.181826768,-0.079880432,-0.094297604,-0.13801624,-0.124597372,-0.106082942,-0.093929856,-0.128650954,-0.088829798,-0.045304361,-0.113480012,-0.158392193,-0.185459412,-0.11946651,-0.226369914,-0.099865996,-0.056276147,-0.228677901,-0.177494581,-0.108659416,-0.094332126,-0.062450179,-0.160737,-0.071761466,0.012626027,-0.162612948,-0.137727798,-0.119422714,-0.10874254,-0.046216128,-0.124934638,-0.282258825,-0.104552641,-0.082400995,-0.020260205,-0.126135423,-0.117488202,-0.287259678
12/28/2007,0.073424457,0.014558667,0.113659318,-0.160249489,0.050388003,0.08377408,0.169404163,0.08600475,0.270286623,0.056977549,0.12254803,0.134084795,0.118515906,0.113850221,-0.005308063,0.081698141,0.020154233,0.02442573,0.141384798,0.092238198,0.063961261,0.063849497,0.015614487,0.120781873,0.037087133,0.086453301,0.057872709,0.115500945,0.13372641,0.061497207,0.069999414,0.055119827,0.08350864,0.079390936,0.050400984,0.114637832,0.167628928,0.081262586,0.079979137,0.155661558,0.076720507,0.198682641,0.066829147,0.124936873,0.03355767,0.043005396,0.059535765,0.10636392,0.015650272,0.124538527,0.135951105,0.03697346,0.199993643,0.060383507,0.046104819,0.073416587,0.114825102,0.124968088,-0.009611258,0.005178505,0.084430257,0.044051637,0.042205765,0.065306274,-0.010857124,0.11350771,0.026712679,0.110269809,0.053483112,0.055463836,0.043789805,0.089231811,0.026902696,0.212827006,-0.004203224,0.005168171,0.126178267
1/31/2008,0.030458018,0.092254055,0.109484233,-0.003623484,0.121022553,0.003183251,0.002971342,0.017861946,0.068829127,-0.05721172,0.26972039,0.063667982,0.098959988,0.125846301,0.065145417,-0.013320844,-0.043200117,0.031475907,0.099271366,-0.096370122,0.040852766,0.00049245,-0.010295978,0.00707572,0.110042541,-0.038058164,0.055981221,-0.057202721,-0.034298833,0.00524056,-0.017045867,0.024972376,0.013660168,-0.005812891,-0.022915716,0.015432987,0.01829449,0.036745468,0.03037507,-0.079266962,0.068260377,0.012923465,0.073136099,0.096975151,0.034411917,-0.014680926,0.040454955,0.120642308,0.038052342,0.129404594,0.167964377,0.03856229,0.039842182,-0.098819373,0.018243425,0.120329245,-0.131642523,0.006834124,0.005690538,0.016987073,0.048769233,-0.002743029,0.074562203,0.020298419,-0.067258879,0.104691361,0.041727197,0.058805561,0.067667076,-0.008054995,0.002757968,0.0242569,0.041629883,0.016348943,0.060025966,-0.00107639,0.110931616
2/29/2008,-0.112112493,-0.1470017,-0.102073742,-0.049800245,-0.22398612,-0.026513384,-0.085526215,-0.122412628,0.110757196,-0.167937387,-0.162004981,-0.108743241,-0.389709189,-0.34310908,0.040249474,0.003824096,0.056882803,-0.153748899,-0.107435651,-0.093779543,-0.073349803,0.044395104,-0.158912219,-0.018121856,0.014123068,0.014224123,-0.10853207,-0.019514672,0.000642043,0.039020387,-0.145473062,-0.107405848,-0.064926818,0.013019987,-0.132099966,-0.011520402,-0.183512391,-0.002229673,-0.046775151,-0.08002706,-0.002605788,-0.132095609,-0.227819984,-0.103787166,-0.093923282,-0.043205323,-0.082615765,-0.059590266,-0.136545075,0.008493103,0.111940932,-0.17589237,-0.166878105,-0.201559687,-0.260463123,-0.125373717,-0.306890237,-0.217561992,-0.177184186,-0.076375311,0.035530917,-0.241795412,-0.212979754,-0.100383406,-0.232398414,-0.060544004,-0.098449169,-0.123057886,-0.206635701,0.000334739,-0.158292337,-0.203887761,-0.088777268,-0.058041032,-0.141633302,-0.100667626,-0.095251541
3/31/2008,0.118243761,0.160663685,0.106508339,0.008662881,0.077765842,0.078522508,0.017880308,0.102662764,0.04571569,-0.043253506,0.130590121,0.053385967,0.131660632,0.195172086,0.063374315,-0.020241655,-0.081997131,0.008967293,0.003722038,0.032983051,-0.004828833,0.006491511,0.063194201,0.037910435,-0.066437387,0.060406865,0.042265537,0.011260626,0.070073769,0.010652984,0.081125545,0.058316203,0.070683394,0.061473226,0.154780106,-0.02954184,-0.026633282,-0.003198821,0.049594105,0.128347915,-0.015158224,-0.052395578,0.075259439,0.064196699,0.068873528,0.054628143,0.043077822,-0.141188064,0.10046013,0.091545055,0.103665585,0.103305874,0.01035118,-0.032503564,-0.007434978,0.056704991,0.065975694,-0.007223046,-0.011530526,0.055326244,0.041323958,0.094655836,0.035080673,0.03870836,0.02629022,0.043200561,0.111588789,-0.005357666,0.036851607,0.045016504,0.055175336,0.004330231,0.019863356,0.006253516,0.022851137,0.012605344,0.062857014
4/30/2008,-0.136683161,-0.124777758,0.016093983,-0.077602971,-0.023635768,-0.089515268,-0.182867171,-0.19198866,-0.14172223,0.106365372,-0.385537733,-0.219084145,-0.049417005,-0.359073246,-0.119724747,-0.067984894,-0.037310027,-0.074933668,-0.224762643,-0.148528841,-0.122338865,-0.127148455,-0.162563397,-0.19973924,-0.158214287,-0.16708698,-0.173012652,-0.117895628,-0.139542927,-0.131622616,-0.069593292,-0.163938237,-0.156702003,-0.162781975,-0.135354107,-0.150210393,-0.157964021,-0.117283404,-0.100614161,-0.161678683,-0.103556745,-0.074573688,-0.076737096,-0.121154096,-0.132218278,-0.120469775,-0.032606522,-0.193828501,-0.153475036,-0.128652431,-0.113518444,-0.023243144,-0.075282406,-0.023092273,0.025784117,-0.18988614,-0.273813586,-0.061454249,-0.113771588,-0.182443877,-0.150320195,-0.156848027,-0.162935694,-0.122502214,-0.074207709,-0.083275586,-0.16670874,-0.035224659,-0.163311494,-0.156983912,-0.24137932,-0.045293295,-0.195219559,-0.114048941,-0.103980188,-0.160924825,-0.147702962
5/30/2008,0.017836018,0.010618804,0.045397866,-0.43614616,0.141971694,0.033351089,0.005790052,0.047080692,0.189633181,-0.167732855,-0.096205493,0.104030836,0.15131593,-0.134945284,-0.171618515,0.051293294,0.096557362,-0.129310046,-0.095619509,0.029084354,0.038220908,-0.031345664,-0.021584583,0.015817132,0.058395459,-0.080329383,0.01779992,0.016822595,0.128847746,-0.045284727,0.09000988,0.028236845,0.000312199,0.024146032,0.037554244,0.040918812,0.00159795,-0.011193017,-0.064525091,0.003760407,-0.089902029,0.017322436,-0.049267338,-0.003624506,0.037459265,0.001613936,-0.000947418,-0.019889163,0.047451229,-0.210270967,-0.044042219,0.000279686,0.014266999,0.044512713,-0.006079046,0.120645202,-0.16526154,0.117056175,0.139273881,-0.019676032,-0.006551774,0.07160708,0.047858333,-0.103844448,0.023793635,0.040396209,-0.09280004,0.034207176,0.037247777,-0.000125739,0.095207684,-0.025473915,0.063946349,0.085370574,-0.015263115,0.047008341,-0.047642793
6/30/2008,-0.049429185,-0.192298597,-0.073361425,-0.194162162,0.130751314,-0.002281389,0.036820667,-0.017364439,-0.16022752,-0.716254197,0.147149522,-0.019433625,-0.098391781,-0.132917769,-0.005549593,0.004938282,-0.087621691,-0.034312032,-0.04558318,-0.04571353,-0.060745389,0.025053784,0.066584107,-0.006619773,0.000393857,-0.080694676,0.003403586,-0.082635018,-0.057977359,0.020882742,-0.013564639,0.006084268,-0.009248668,-0.024675282,-0.024871408,-0.021184657,-0.012792294,0.055716034,-0.120843183,-0.092995604,-0.113524419,0.066571037,0.014801821,-0.001453489,0.003879261,-0.05788599,-0.03080128,0.041895843,0.051415713,-0.184771866,-0.10223807,-0.052083972,0.029188687,-0.194612875,0.124804399,-0.017227273,-0.125580223,-0.002329471,0.018330452,0.011908218,-0.075320992,0.008929374,0.015241597,0.008411628,-0.131380689,0.003958936,-0.042370152,0.077697342,0.038213771,-0.090367068,-0.061794336,0.010121329,0.047644292,-0.188536322,-0.044905903,-0.045887159,0.152316194
7/31/2008,0.076212008,0.026961009,0.012606767,-0.22733172,0.170136246,0.020704941,0.143689514,0.065917965,0.231209197,0.665378071,0.260065373,0.061332053,0.055786763,0.10859962,0.045034475,-0.011893104,-0.122306595,0.07175545,0.172430282,0.04451602,0.01125826,0.000848378,0.025378155,-0.028441955,-0.036079638,0.076880801,0.055747422,0.166441855,0.046034015,-0.004879287,-0.035524971,-0.023331647,0.078293827,0.03437035,0.008341318,0.038704859,-0.092185375,0.008914561,0.025158455,0.034002885,0.078371986,-0.045585023,0.074229995,0.153423142,-0.037407155,0.096653353,-0.031780232,-0.018402754,0.002708296,-0.154931636,0.009286124,0.073743522,0.055903497,0.076781898,-0.107275996,0.154313346,0.315734084,0.01999277,-0.089675228,0.06638834,0.095976221,0.079685662,0.158588501,0.024347901,0.024003041,0.128601976,0.065560312,0.027454862,0.149242784,0.062924884,0.087260015,0.105469565,0.062921289,-0.098341318,0.062717108,-0.100366984,0.10276393
8/29/2008,0.051753582,-0.017509693,0.07452898,-0.165824078,0.482215974,-0.037862236,-0.03129803,-0.022672525,-0.084320608,-0.031836469,0.001813797,0.089527977,0.030074771,0.085093012,-0.061202227,0.036225204,0.088783903,0.030315439,-0.02332134,0.070442144,-0.046183731,-0.021244319,-0.118619793,-0.01123938,-0.048738598,-0.099222904,-0.012641645,-0.015596852,-0.011052714,-0.019451592,-0.049144,0.024278829,0.04479085,0.046580591,-0.036902589,-0.04249664,0.004787126,-0.010323255,-0.009390191,-0.023395826,-0.022821057,-0.088832791,-0.098584669,0.041545376,0.048856121,-0.02163765,0.057830909,-0.105835748,-0.051171309,-0.153363634,-0.163068483,0.101129804,-0.001808303,-0.017510214,-0.065617593,0.053742222,-0.045685213,0.040745548,-0.012215588,-0.086979717,0.056678531,-0.019399355,0.107280043,-0.035081656,-0.28691899,-0.00085843,-0.004972912,0.018215812,-0.108913077,0.011644954,-0.049675003,0.054468017,-0.111951409,-0.104530229,-0.036457211,0.00026396,-0.001012059
